1=0.32166522615960824,7=0.19129933736675286,10=0.09997118985883018,6=0.0919043503313165,3=0.041630653990204505,5=0.03990204552002301,8=0.03730913281475075,12=0.03572457505041769,0=0.030682800345721656,4=0.030682800345721656,2=0.027513684817055562,9=0.025929127052722517,11=0.025785076346874054,
2=0.5510696375293591,4=0.12194502634418843,7=0.07719164603567577,10=0.05694153494572462,9=0.05516409572779787,6=0.023106709833047665,1=0.022217990224084275,8=0.016123912905478308,11=0.016060432933409495,5=0.015996952961340672,12=0.01574303307306543,0=0.014917793436170867,3=0.01352123405065701,
7=0.21927668539325842,10=0.15923455056179775,11=0.13728932584269662,6=0.11095505617977527,5=0.04985955056179775,3=0.04845505617977528,1=0.045997191011235956,8=0.04564606741573034,12=0.044417134831460675,4=0.03827247191011236,0=0.037219101123595506,9=0.03195224719101124,2=0.031425561797752806,
11=0.2606741573033707,9=0.21932584269662922,10=0.13887640449438202,6=0.05483146067415731,5=0.04344569288389517,1=0.0417977528089888,8=0.041647940074906395,12=0.04014981273408241,0=0.03835205992509366,3=0.033707865168539346,4=0.033258426966292165,7=0.027116104868913856,2=0.026816479400749063,
10=0.2410623084780388,6=0.10469867211440244,5=0.07660878447395308,3=0.07328907048008176,1=0.06869254341164459,8=0.06792645556690509,12=0.06767109295199188,4=0.057711950970378,0=0.05771195097037799,9=0.04673135852911132,7=0.04622063329928497,11=0.045965270684371784,2=0.045709908069458606,
10=0.20070500110156386,6=0.13593302489535122,9=0.11852831020048446,7=0.06609385327164566,0=0.06322978629654101,5=0.060145406477197544,1=0.0586032165675258,8=0.05838290372328699,12=0.0550782110597047,2=0.05001101564221187,4=0.04802820004406251,3=0.0456047587574355,11=0.0396563119629874,
9=0.18358407922300513,10=0.17349076366406394,11=0.14359169681965328,6=0.07312892782327167,3=0.05903637402399534,1=0.05770329461055031,5=0.055227575699866624,8=0.05408493620262802,12=0.04913349838126066,0=0.04246810131403537,4=0.04037326223576456,2=0.034088745000952145,7=0.034088745000952145,
7=0.23709769567701397,10=0.18453627880403736,1=0.08665016187392867,6=0.07903256522567119,3=0.06417825176156913,5=0.05313273662159584,8=0.05179965720815076,12=0.05008569796229284,4=0.04913349838126066,0=0.04132546181679674,9=0.03446962483336502,2=0.03427918491715858,11=0.03427918491715858,
9=0.20344250537891487,10=0.11953143676786998,6=0.11235955056179783,8=0.06861104470475733,0=0.065264164475257,5=0.0628735357398996,12=0.06215634711929237,1=0.061678221372220884,4=0.057853215395649055,3=0.056179775280898854,11=0.04446569447764756,7=0.043031317236433116,2=0.04255319148936164,
6=0.19887640449438204,10=0.13398876404494386,5=0.07949438202247189,8=0.07247191011235954,1=0.06713483146067413,12=0.06573033707865163,0=0.06235955056179772,4=0.06039325842696623,3=0.05870786516853927,2=0.05028089887640441,9=0.05028089887640441,11=0.05028089887640441,7=0.04999999999999991,
9=0.16656810565740177,11=0.14823575793416127,4=0.09067612852355614,10=0.0904790065050266,6=0.08298836980090678,8=0.08042578356002368,12=0.0725409028188449,0=0.05854523950325252,5=0.05322294500295688,1=0.042775478020895,3=0.04218411196530659,2=0.035876207372363564,7=0.03548196333530463,
10=0.13857677902621734,5=0.11392009987515606,8=0.09612983770287135,12=0.08801498127340815,6=0.07553058676654173,0=0.07178526841448178,4=0.06897627965043684,1=0.06210986267166033,3=0.05930087390761538,9=0.05805243445692873,7=0.056179775280898764,11=0.05586766541822711,2=0.05555555555555545,
5=0.15758426966292138,10=0.12219101123595502,8=0.09775280898876408,12=0.08174157303370784,6=0.0797752808988764,3=0.07359550561797752,4=0.06516853932584267,0=0.062078651685393234,1=0.05505617977528085,9=0.052528089887640385,11=0.0514044943820224,7=0.05056179775280891,2=0.0505617977528089,
9=0.2167290886392006,10=0.10786516853932568,12=0.08289637952559295,5=0.08014981273408231,8=0.07665418227215975,0=0.07390761548064914,6=0.059675405742821444,4=0.05742821473158547,1=0.056429463171036164,3=0.05268414481897623,11=0.04594257178526835,2=0.04519350811485636,7=0.04444444444444438,
10=0.13732833957553064,5=0.1083021223470662,8=0.09425717852684136,12=0.09238451935081142,0=0.07490636704119841,6=0.07365792759051175,4=0.07365792759051173,3=0.060237203495630345,1=0.059925093632958705,7=0.05774032459425707,9=0.056179775280898764,11=0.05586766541822711,2=0.05555555555555545,
10=0.13264669163545573,5=0.10112359550561793,12=0.09800249687890132,8=0.09706616729088631,6=0.07709113607990004,0=0.07209737827715344,4=0.06960049937578017,1=0.06523096129837691,3=0.060861423220973675,7=0.057116104868913754,9=0.057116104868913754,11=0.056179775280898764,2=0.05586766541822711,
10=0.13171036204744074,8=0.098314606741573,5=0.09737827715355797,12=0.09519350811485636,6=0.08052434456928827,0=0.07272159800249677,4=0.07116104868913847,1=0.06460674157303362,3=0.06086142322097367,9=0.05867665418227205,11=0.05680399500624209,7=0.05617977528089878,2=0.05586766541822711,
8=0.12921348314606743,10=0.12832643406268485,12=0.1164991129509166,5=0.08663512714370188,6=0.07451212300413951,0=0.06859846244825539,4=0.06593731519810758,1=0.06150206978119454,3=0.05558840922531046,9=0.054405677114133646,11=0.05322294500295684,7=0.052927261975162634,2=0.05263157894736843,
12=0.15071677644323903,4=0.0747772181325067,0=0.07206509104998057,5=0.07129019759783024,10=0.0709027508717551,1=0.0705153041456799,3=0.0705153041456799,6=0.07012785741960473,8=0.07012785741960473,11=0.07012785741960473,7=0.06974041069352958,9=0.06974041069352957,2=0.06935296396745441,
